Team,Location,Stadium,Capacity
Arsenal,London,The Emirates Stadium,60704
Aston Villa,Birmingham,Villa Park,42657
Bournemouth,Bournemouth,Dean Court,11307
Brentford,London,The Brentford Community Stadium,17250
Brighton & Hove Albion,Falmer,Falmer Stadium,31800
Burnley,Burnley,Turf Moor,21944
Chelsea,London,Stamford Bridge,40343
Crystal Palace,London,Selhurst Park,25486
Everton,Liverpool,Goodison Park,39414
Fulham,London,Craven Cottage,29600
Liverpool,Liverpool,Anfield,53394
Luton Town,Luton,Kenilworth Road,10356
Manchester City,Manchester,The City of Manchester Stadium,53400
Manchester United,Manchester,Old Trafford,74310
Newcastle United,Newcastle upon Tyne,St James Park,52305
Nottingham Forest,West Bridgford,The City Ground,30332
Sheffield United,Sheffield,Bramall Lane,32050
Tottenham Hotspur,London,The Tottenham Hotspur Stadium,62850
West Ham United,London,The London Stadium,62500
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,31750
